ds,y
2006-01-01,0.5777777777777773
2006-01-02,5.422222222222221
2006-01-03,1.6944444444444429
2006-01-04,2.2000000000000006
2006-01-05,1.6666666666666667
2006-01-06,1.805555555555556
2006-01-07,2.7333333333333343
2006-01-08,-0.0444444444444434
2006-01-09,-4.933333333333333
2006-01-10,-1.2055555555555566
2006-01-11,-2.8888888888888884
2006-01-12,-1.5722222222222213
2006-01-13,-0.5777777777777773
2006-01-14,-0.1166666666666671
2006-01-15,-4.3277777777777775
2006-01-16,-3.2888888888888896
2006-01-17,-4.3277777777777775
2006-01-18,-2.2222222222222223
2006-01-19,0.6944444444444444
2006-01-20,-5.444444444444445
2006-01-21,-1.1111111111111112
2006-01-22,0.5666666666666684
2006-01-23,-11.533333333333331
2006-01-24,-11.233333333333333
2006-01-25,-12.422222222222222
2006-01-26,-10.183333333333332
2006-01-27,-9.627777777777776
2006-01-28,-7.916666666666667
2006-01-29,-0.6277777777777772
2006-01-30,-0.7333333333333335
2006-01-31,-0.0666666666666672
2006-02-01,-2.144444444444444
2006-02-02,-2.383333333333333
2006-02-03,-4.861111111111111
2006-02-04,-3.4000000000000004
2006-02-05,-3.888888888888889
2006-02-06,-8.77222222222222
2006-02-07,-11.083333333333334
2006-02-08,-4.333333333333333
2006-02-09,-1.5777777777777775
2006-02-10,-2.783333333333334
2006-02-11,-1.4999999999999996
2006-02-12,-4.261111111111112
2006-02-13,-2.783333333333334
2006-02-14,-3.711111111111111
2006-02-15,-2.244444444444444
2006-02-16,0.0222222222222217
2006-02-17,2.8611111111111103
2006-02-18,0.6666666666666683
2006-02-19,2.683333333333332
2006-02-20,4.561111111111112
2006-02-21,5.622222222222221
2006-02-22,6.061111111111109
2006-02-23,0.6444444444444426
2006-02-24,1.1055555555555567
2006-02-25,3.2611111111111097
2006-02-26,0.5777777777777773
2006-02-27,-1.7388888888888885
2006-02-28,-4.038888888888888
2006-03-01,-4.905555555555555
2006-03-02,-3.2166666666666663
2006-03-03,-4.277777777777778
2006-03-04,4.861111111111111
2006-03-05,8.733333333333333
2006-03-06,-0.5333333333333338
2006-03-07,-1.861111111111112
2006-03-08,-2.827777777777777
2006-03-09,-3.361111111111112
2006-03-10,2.2666666666666657
2006-03-11,4.349999999999999
2006-03-12,1.594444444444443
2006-03-13,0.0277777777777761
2006-03-14,-1.5277777777777777
2006-03-15,0.4888888888888903
2006-03-16,0.6055555555555574
2006-03-17,2.7777777777777777
2006-03-18,2.2222222222222223
2006-03-19,2.0944444444444463
2006-03-20,1.0666666666666675
2006-03-21,2.055555555555557
2006-03-22,8.91111111111111
2006-03-23,9.905555555555557
2006-03-24,1.0611111111111091
2006-03-25,1.6666666666666667
2006-03-26,7.777777777777778
2006-03-27,11.22777777777778
2006-03-28,10.27777777777778
2006-03-29,9.522222222222222
2006-03-30,9.355555555555558
2006-03-31,10.555555555555555
2006-04-01,9.47222222222222
2006-04-02,9.555555555555555
2006-04-03,9.216666666666669
2006-04-04,9.533333333333331
2006-04-05,5.327777777777779
2006-04-06,11.688888888888888
2006-04-07,4.466666666666666
2006-04-08,3.800000000000002
2006-04-09,6.016666666666666
2006-04-10,10.42222222222222
2006-04-11,13.77222222222222
2006-04-12,8.199999999999998
2006-04-13,7.316666666666667
2006-04-14,6.622222222222224
2006-04-15,10.444444444444445
2006-04-16,12.266666666666666
2006-04-17,11.183333333333334
2006-04-18,9.522222222222222
2006-04-19,14.372222222222222
2006-04-20,11.827777777777776
2006-04-21,11.52777777777778
2006-04-22,9.883333333333333
2006-04-23,10.555555555555555
2006-04-24,11.116666666666664
2006-04-25,12.711111111111112
2006-04-26,13.311111111111112
2006-04-27,15.444444444444445
2006-04-28,13.4
2006-04-29,12.316666666666668
2006-04-30,11.6
2006-05-01,12.733333333333334
2006-05-02,11.066666666666668
2006-05-03,11.666666666666666
2006-05-04,12.022222222222222
2006-05-05,9.422222222222224
2006-05-06,9.4
2006-05-07,6.944444444444445
2006-05-08,10.511111111111113
2006-05-09,8.850000000000001
2006-05-10,12.622222222222222
2006-05-11,11.57777777777778
2006-05-12,9.522222222222222
2006-05-13,11.605555555555556
2006-05-14,13.872222222222222
2006-05-15,14.400000000000002
2006-05-16,11.183333333333334
2006-05-17,15.16111111111111
2006-05-18,13.866666666666667
2006-05-19,16.761111111111113
2006-05-20,14.422222222222224
2006-05-21,17.17777777777778
2006-05-22,14.422222222222224
2006-05-23,17.383333333333333
2006-05-24,19.97222222222222
2006-05-25,12.68888888888889
2006-05-26,11.761111111111113
2006-05-27,14.955555555555556
2006-05-28,15.650000000000002
2006-05-29,13.961111111111112
2006-05-30,11.138888888888888
2006-05-31,9.97777777777778
2006-06-01,7.277777777777778
2006-06-02,13.194444444444445
2006-06-03,11.066666666666668
2006-06-04,11.688888888888888
2006-06-05,11.11111111111111
2006-06-06,8.450000000000001
2006-06-07,11.6
2006-06-08,12.66111111111111
2006-06-09,13.011111111111113
2006-06-10,10.75
2006-06-11,8.93888888888889
2006-06-12,12.783333333333331
2006-06-13,15.050000000000002
2006-06-14,12.783333333333331
2006-06-15,14.422222222222224
2006-06-16,15.627777777777778
2006-06-17,17.244444444444444
2006-06-18,20.561111111111117
2006-06-19,19.466666666666672
2006-06-20,21.55555555555556
2006-06-21,19.488888888888887
2006-06-22,22.28888888888889
2006-06-23,19.55555555555556
2006-06-24,18.911111111111115
2006-06-25,20.488888888888887
2006-06-26,22.666666666666668
2006-06-27,23.35555555555556
2006-06-28,22.89444444444444
2006-06-29,22.2
2006-06-30,19.95
2006-07-01,17.77777777777778
